k,iter,tolerance,numReducers,inputPath,executionTime
25,63,0.001,1,inputs/input_100000x10_25.txt,1169
25,5,0.001,1,inputs/input_1000x5_25.txt,85
10,14,0.001,1,inputs/input_100000x2_10.txt,249
25,4,0.001,1,inputs/input_1000x10_25.txt,69
25,73,0.001,1,inputs/input_1000000x2_25.txt,1566
10,8,0.001,1,inputs/input_1000x10_10.txt,138
25,10,0.001,1,inputs/input_1000x2_25.txt,168
4,5,0.001,1,inputs/input_1000x5_4.txt,85
50,8,0.001,1,inputs/input_1000x5_50.txt,135
10,3,0.001,1,inputs/input_1000x5_10.txt,50
4,5,0.001,1,inputs/input_100000x2_4.txt,89
25,100,0.001,1,inputs/input_100000x2_25.txt,1755
10,13,0.001,1,inputs/input_1000000x2_10.txt,273
4,3,0.001,1,inputs/input_100000x5_4.txt,54
50,100,0.001,1,inputs/input_100000x2_50.txt,1753
50,52,0.001,1,inputs/input_100000x10_50.txt,990
4,3,0.001,1,inputs/input_1000x10_4.txt,51
10,8,0.001,1,inputs/input_1000x2_10.txt,135
10,50,0.001,1,inputs/input_100000x10_10.txt,923
50,100,0.001,1,inputs/input_1000000x2_50.txt,2242
4,44,0.001,1,inputs/input_100000x10_4.txt,806
50,23,0.001,1,inputs/input_1000x2_50.txt,381
25,38,0.001,1,inputs/input_100000x5_25.txt,671
50,6,0.001,1,inputs/input_1000x10_50.txt,103
50,47,0.001,1,inputs/input_100000x5_50.txt,843
4,5,0.001,1,inputs/input_1000x2_4.txt,84
4,14,0.001,1,inputs/input_1000000x2_4.txt,300
10,10,0.001,1,inputs/input_100000x5_10.txt,177
25,63,0.001,3,inputs/input_100000x10_25.txt,1199
25,5,0.001,3,inputs/input_1000x5_25.txt,88
10,14,0.001,3,inputs/input_100000x2_10.txt,257
25,4,0.001,3,inputs/input_1000x10_25.txt,72
25,73,0.001,3,inputs/input_1000000x2_25.txt,1599
10,8,0.001,3,inputs/input_1000x10_10.txt,141
25,10,0.001,3,inputs/input_1000x2_25.txt,176
4,5,0.001,3,inputs/input_1000x5_4.txt,86
50,8,0.001,3,inputs/input_1000x5_50.txt,134
10,3,0.001,3,inputs/input_1000x5_10.txt,53
4,5,0.001,3,inputs/input_100000x2_4.txt,91
25,100,0.001,3,inputs/input_100000x2_25.txt,1792
10,13,0.001,3,inputs/input_1000000x2_10.txt,277
4,3,0.001,3,inputs/input_100000x5_4.txt,56
50,100,0.001,3,inputs/input_100000x2_50.txt,1805
50,52,0.001,3,inputs/input_100000x10_50.txt,1013
4,3,0.001,3,inputs/input_1000x10_4.txt,54
10,8,0.001,3,inputs/input_1000x2_10.txt,138
10,50,0.001,3,inputs/input_100000x10_10.txt,954
50,100,0.001,3,inputs/input_1000000x2_50.txt,2271
4,44,0.001,3,inputs/input_100000x10_4.txt,820
50,23,0.001,3,inputs/input_1000x2_50.txt,397
25,38,0.001,3,inputs/input_100000x5_25.txt,685
50,6,0.001,3,inputs/input_1000x10_50.txt,105
50,47,0.001,3,inputs/input_100000x5_50.txt,864
4,5,0.001,3,inputs/input_1000x2_4.txt,86
4,14,0.001,3,inputs/input_1000000x2_4.txt,297
10,10,0.001,3,inputs/input_100000x5_10.txt,181
25,99,1.0E-5,1,inputs/input_100000x10_25.txt,1838
25,5,1.0E-5,1,inputs/input_1000x5_25.txt,84
10,88,1.0E-5,1,inputs/input_100000x2_10.txt,1539
25,4,1.0E-5,1,inputs/input_1000x10_25.txt,70
25,100,1.0E-5,1,inputs/input_1000000x2_25.txt,2163
10,8,1.0E-5,1,inputs/input_1000x10_10.txt,136
25,10,1.0E-5,1,inputs/input_1000x2_25.txt,172
4,5,1.0E-5,1,inputs/input_1000x5_4.txt,85
50,8,1.0E-5,1,inputs/input_1000x5_50.txt,134
10,3,1.0E-5,1,inputs/input_1000x5_10.txt,51
4,7,1.0E-5,1,inputs/input_100000x2_4.txt,123
25,100,1.0E-5,1,inputs/input_100000x2_25.txt,1754
10,100,1.0E-5,1,inputs/input_1000000x2_10.txt,2068
4,3,1.0E-5,1,inputs/input_100000x5_4.txt,55
50,100,1.0E-5,1,inputs/input_100000x2_50.txt,1754
50,72,1.0E-5,1,inputs/input_100000x10_50.txt,1376
4,3,1.0E-5,1,inputs/input_1000x10_4.txt,51
10,8,1.0E-5,1,inputs/input_1000x2_10.txt,134
10,100,1.0E-5,1,inputs/input_100000x10_10.txt,1845
50,100,1.0E-5,1,inputs/input_1000000x2_50.txt,2243
4,81,1.0E-5,1,inputs/input_100000x10_4.txt,1463
50,23,1.0E-5,1,inputs/input_1000x2_50.txt,388
25,83,1.0E-5,1,inputs/input_100000x5_25.txt,1457
50,6,1.0E-5,1,inputs/input_1000x10_50.txt,103
50,59,1.0E-5,1,inputs/input_100000x5_50.txt,1059
4,5,1.0E-5,1,inputs/input_1000x2_4.txt,86
4,42,1.0E-5,1,inputs/input_1000000x2_4.txt,882
10,26,1.0E-5,1,inputs/input_100000x5_10.txt,461
25,99,1.0E-5,3,inputs/input_100000x10_25.txt,1864
25,5,1.0E-5,3,inputs/input_1000x5_25.txt,87
10,88,1.0E-5,3,inputs/input_100000x2_10.txt,1580
25,4,1.0E-5,3,inputs/input_1000x10_25.txt,74
25,100,1.0E-5,3,inputs/input_1000000x2_25.txt,2204
10,8,1.0E-5,3,inputs/input_1000x10_10.txt,139
25,10,1.0E-5,3,inputs/input_1000x2_25.txt,176
4,5,1.0E-5,3,inputs/input_1000x5_4.txt,90
50,8,1.0E-5,3,inputs/input_1000x5_50.txt,139
10,3,1.0E-5,3,inputs/input_1000x5_10.txt,50
4,7,1.0E-5,3,inputs/input_100000x2_4.txt,124
25,100,1.0E-5,3,inputs/input_100000x2_25.txt,1775
10,100,1.0E-5,3,inputs/input_1000000x2_10.txt,2091
4,3,1.0E-5,3,inputs/input_100000x5_4.txt,55
50,100,1.0E-5,3,inputs/input_100000x2_50.txt,1771
50,72,1.0E-5,3,inputs/input_100000x10_50.txt,1375
4,3,1.0E-5,3,inputs/input_1000x10_4.txt,51
10,8,1.0E-5,3,inputs/input_1000x2_10.txt,135
10,100,1.0E-5,3,inputs/input_100000x10_10.txt,1875
50,100,1.0E-5,3,inputs/input_1000000x2_50.txt,2279
4,81,1.0E-5,3,inputs/input_100000x10_4.txt,1471
50,23,1.0E-5,3,inputs/input_1000x2_50.txt,386
25,83,1.0E-5,3,inputs/input_100000x5_25.txt,1481
50,6,1.0E-5,3,inputs/input_1000x10_50.txt,105
50,59,1.0E-5,3,inputs/input_100000x5_50.txt,1066
4,5,1.0E-5,3,inputs/input_1000x2_4.txt,86
4,42,1.0E-5,3,inputs/input_1000000x2_4.txt,897
10,26,1.0E-5,3,inputs/input_100000x5_10.txt,461
