k,iter,tolerance,inputPath,executionTime
10,12,0.001,input_1000000x2_10.txt,5.3320958614349365
10,100,1e-05,input_1000000x2_10.txt,42.32045388221741
25,68,0.001,input_1000000x2_25.txt,60.52035307884216
25,100,1e-05,input_1000000x2_25.txt,99.948073387146
4,13,0.001,input_1000000x2_4.txt,3.485002279281616
4,35,1e-05,input_1000000x2_4.txt,9.082480192184448
50,94,0.001,input_1000000x2_50.txt,158.17940759658813
50,100,1e-05,input_1000000x2_50.txt,150.57693815231323
10,33,0.001,input_100000x10_10.txt,4.574367523193359
10,100,1e-05,input_100000x10_10.txt,13.265600442886353
25,30,0.001,input_100000x10_25.txt,9.84499478340149
25,99,1e-05,input_100000x10_25.txt,28.996654748916626
4,40,0.001,input_100000x10_4.txt,2.4655206203460693
4,81,1e-05,input_100000x10_4.txt,4.9644293785095215
50,100,0.001,input_100000x10_50.txt,42.18758678436279
50,100,1e-05,input_100000x10_50.txt,39.64451622962952
10,11,0.001,input_100000x2_10.txt,0.4739978313446045
10,88,1e-05,input_100000x2_10.txt,4.087079763412476
25,27,0.001,input_100000x2_25.txt,2.7380013465881348
25,100,1e-05,input_100000x2_25.txt,8.709635496139526
4,5,0.001,input_100000x2_4.txt,0.12743878364562988
4,6,1e-05,input_100000x2_4.txt,0.14987993240356445
50,94,0.001,input_100000x2_50.txt,13.734381914138794
50,100,1e-05,input_100000x2_50.txt,14.556099891662598
10,9,0.001,input_100000x5_10.txt,0.5430891513824463
10,26,1e-05,input_100000x5_10.txt,1.5438697338104248
25,20,0.001,input_100000x5_25.txt,2.61991286277771
25,83,1e-05,input_100000x5_25.txt,10.767545938491821
4,3,0.001,input_100000x5_4.txt,0.10845685005187988
4,3,1e-05,input_100000x5_4.txt,0.10898065567016602
50,43,0.001,input_100000x5_50.txt,10.793032169342041
50,59,1e-05,input_100000x5_50.txt,14.71330189704895
10,100,0.001,input_1000x10_10.txt,0.06745147705078125
10,100,1e-05,input_1000x10_10.txt,0.06148552894592285
25,4,0.001,input_1000x10_25.txt,0.012183427810668945
25,4,1e-05,input_1000x10_25.txt,0.01136922836303711
4,3,0.001,input_1000x10_4.txt,0.002041339874267578
4,3,1e-05,input_1000x10_4.txt,0.0009992122650146484
50,100,0.001,input_1000x10_50.txt,0.4256608486175537
50,100,1e-05,input_1000x10_50.txt,0.5419068336486816
10,8,0.001,input_1000x2_10.txt,0.003996610641479492
10,8,1e-05,input_1000x2_10.txt,0.0029990673065185547
25,10,0.001,input_1000x2_25.txt,0.010000228881835938
25,10,1e-05,input_1000x2_25.txt,0.009000062942504883
4,5,0.001,input_1000x2_4.txt,0.0009992122650146484
4,5,1e-05,input_1000x2_4.txt,0.001989126205444336
50,23,0.001,input_1000x2_50.txt,0.042859554290771484
50,23,1e-05,input_1000x2_50.txt,0.03686022758483887
10,3,0.001,input_1000x5_10.txt,0.0019991397857666016
10,3,1e-05,input_1000x5_10.txt,0.0020003318786621094
25,5,0.001,input_1000x5_25.txt,0.0059888362884521484
25,5,1e-05,input_1000x5_25.txt,0.00551295280456543
4,5,0.001,input_1000x5_4.txt,0.001999378204345703
4,5,1e-05,input_1000x5_4.txt,0.002126932144165039
50,8,0.001,input_1000x5_50.txt,0.02759528160095215
50,8,1e-05,input_1000x5_50.txt,0.02724909782409668
