k,iter,tolerance,numReducers,inputPath,executionTime
25,4,0.01,1,inputs/input_100000x10_25.txt,76
25,5,0.01,1,inputs/input_1000x5_25.txt,88
10,4,0.01,1,inputs/input_100000x2_10.txt,72
25,4,0.01,1,inputs/input_1000x10_25.txt,68
25,7,0.01,1,inputs/input_1000000x2_25.txt,152
10,5,0.01,1,inputs/input_1000x10_10.txt,86
25,8,0.01,1,inputs/input_1000x2_25.txt,135
4,5,0.01,1,inputs/input_1000x5_4.txt,85
50,6,0.01,1,inputs/input_1000x5_50.txt,102
10,3,0.01,1,inputs/input_1000x5_10.txt,53
4,5,0.01,1,inputs/input_100000x2_4.txt,92
25,6,0.01,1,inputs/input_100000x2_25.txt,108
10,10,0.01,1,inputs/input_1000000x2_10.txt,210
4,3,0.01,1,inputs/input_100000x5_4.txt,56
50,6,0.01,1,inputs/input_100000x2_50.txt,107
50,6,0.01,1,inputs/input_100000x10_50.txt,118
4,3,0.01,1,inputs/input_1000x10_4.txt,54
10,6,0.01,1,inputs/input_1000x2_10.txt,103
10,3,0.01,1,inputs/input_100000x10_10.txt,58
50,5,0.01,1,inputs/input_1000000x2_50.txt,115
4,3,0.01,1,inputs/input_100000x10_4.txt,57
50,9,0.01,1,inputs/input_1000x2_50.txt,151
25,6,0.01,1,inputs/input_100000x5_25.txt,110
50,6,0.01,1,inputs/input_1000x10_50.txt,102
50,12,0.01,1,inputs/input_100000x5_50.txt,221
4,5,0.01,1,inputs/input_1000x2_4.txt,88
4,4,0.01,1,inputs/input_1000000x2_4.txt,84
10,3,0.01,1,inputs/input_100000x5_10.txt,54
25,4,0.01,3,inputs/input_100000x10_25.txt,76
25,5,0.01,3,inputs/input_1000x5_25.txt,88
10,4,0.01,3,inputs/input_100000x2_10.txt,75
25,4,0.01,3,inputs/input_1000x10_25.txt,71
25,7,0.01,3,inputs/input_1000000x2_25.txt,155
10,5,0.01,3,inputs/input_1000x10_10.txt,88
25,8,0.01,3,inputs/input_1000x2_25.txt,138
4,5,0.01,3,inputs/input_1000x5_4.txt,88
50,6,0.01,3,inputs/input_1000x5_50.txt,105
10,3,0.01,3,inputs/input_1000x5_10.txt,57
4,5,0.01,3,inputs/input_100000x2_4.txt,93
25,6,0.01,3,inputs/input_100000x2_25.txt,111
10,10,0.01,3,inputs/input_1000000x2_10.txt,214
4,3,0.01,3,inputs/input_100000x5_4.txt,55
50,6,0.01,3,inputs/input_100000x2_50.txt,110
50,6,0.01,3,inputs/input_100000x10_50.txt,125
4,3,0.01,3,inputs/input_1000x10_4.txt,54
10,6,0.01,3,inputs/input_1000x2_10.txt,107
10,3,0.01,3,inputs/input_100000x10_10.txt,59
50,5,0.01,3,inputs/input_1000000x2_50.txt,116
4,3,0.01,3,inputs/input_100000x10_4.txt,59
50,9,0.01,3,inputs/input_1000x2_50.txt,158
25,6,0.01,3,inputs/input_100000x5_25.txt,111
50,6,0.01,3,inputs/input_1000x10_50.txt,104
50,12,0.01,3,inputs/input_100000x5_50.txt,224
4,5,0.01,3,inputs/input_1000x2_4.txt,87
4,4,0.01,3,inputs/input_1000000x2_4.txt,88
10,3,0.01,3,inputs/input_100000x5_10.txt,55
25,88,1.0E-4,1,inputs/input_100000x10_25.txt,1642
25,5,1.0E-4,1,inputs/input_1000x5_25.txt,84
10,43,1.0E-4,1,inputs/input_100000x2_10.txt,757
25,4,1.0E-4,1,inputs/input_1000x10_25.txt,69
25,81,1.0E-4,1,inputs/input_1000000x2_25.txt,1735
10,8,1.0E-4,1,inputs/input_1000x10_10.txt,139
25,10,1.0E-4,1,inputs/input_1000x2_25.txt,173
4,5,1.0E-4,1,inputs/input_1000x5_4.txt,87
50,8,1.0E-4,1,inputs/input_1000x5_50.txt,135
10,3,1.0E-4,1,inputs/input_1000x5_10.txt,52
4,6,1.0E-4,1,inputs/input_100000x2_4.txt,108
25,100,1.0E-4,1,inputs/input_100000x2_25.txt,1764
10,14,1.0E-4,1,inputs/input_1000000x2_10.txt,293
